indonesia,minang_ground_truth,hasil_terjemahan,bleu_score,meteor_score,ter_score,chrf_score
"secara sosial, proses kerja pilakuik juga nilai strategis yang tersimpan di dalamnya diinternalisasi dalam usaha menyadarkan warga yang enggan terlibat dalam kerja sosial","sacaro sosial, proses karajo pilakuik jo nilai strategis nan tacimpan di dalamnyo diinternalisasi dalam usaho manyadarkan warga nan enggan terlibat dalam karajo sosial","sacaro sosial, tahapan karajo pilakuik juo nilai strategis nan tasimpan di dalamnyo, diinternalisasi dalam usaho manyadaran warga nan anggan talibaik dalam karajo sosial
",0.11940457987720875,0.7141027611290407,0.30434782608695654,77.78648375974217
"para ulama berbedabeda dalam menyebut nama ketujuh tokoh tabi'in tersebut, namun pada umumnya menyebutkan bahwa mereka adalah123","para ulama babedabeda dalam manyabuik namo katujuah tokoh tabi'in tasabuik, namun pado umumnyo manyabuik sabagai barikuik123","para ulama babedobedo dalam manyabuik namo katujuah tokoh tabi'in tasabuik, namun pado umumnyo manyabuikan baso mareka adolah123
",0.5856596027429395,0.7491608706183605,0.3125,79.41577435791098
falsafah tersebut tercermin pula pada bentuk arsitektur rumah adat bodi chaniago yang ditandai dengan tidak terdapatnya anjuang pada kedua sisi bangunan rumah gadang,falsafah tasabuik tacamin pulo pado bantuak arsitektur rumah adaik bodi chaniago nan ditandoi jo indak adonyo anjuang pado kadua sisi bangunan rumah gadang,"falsafah tasabuik tacamin pulo pado bantuak arsitektur rumah adat bodi chaniago nan ditandoi jo indak adonyo anjuang pado kaduo sisi bangunan rumah gadang
",0.7522135016840221,0.9117125110913931,0.08695652173913043,93.97841752452193
dalam air boleh dianjuk,dalam aia buliah di ajuak,"dalam aia buliah dianjuak
",0.3096787331587729,0.600907029478458,0.4,85.62210976925142
"isi pesan berupa kata kata tes sepenuhnya dilupakan, kemungkinan pesan pertama yang dikirimkannya adalah qwertyuiop atau huruf serupa, kata ray dalam akun flickr miliknya.","isi pasan barupo kato kato tes sapanuhnyo dilupoan, kamungkinan pasan patamo nan dikirimnyo adolah qwertyuiop atau huruf sarupo, kato ray dalam akun flickr miliknya.","isi pasan barupo kato kato tes sapanuhnyo dilupoan, kamungkinan pasan patamo nan dikirimnyo adolah qwertyuiop atau huruf sarupo, kato ray dalam akun flickr miliknya
",0.9554427922043668,0.9665152548338136,0.041666666666666664,99.42561370719211
"karbohidrat pisang menyediakan energi sedikit lebih lambat dibandingkan dengan gula pasir dan sirup, tetapi lebih cepat dari nasi, biskuit, dan sejenis roti.","karbohidrat pisang manyadiokan energi saketek lebiah lambek dibandiangkan dangan gulo pasia jo sirup, tatapi lebiah capek dari nasi, biskuit, jo sajanih roti.","karbohidrat pisang manyadiokan energi saketek lebiah lambek dibandiangkan jo gulo pasia jo sirup, tatapi lebiah capek dari nasi, biskuit, jo sajanih roti
",0.8232490471721702,0.9263728013728014,0.09090909090909091,93.61555008886255
"selanjutnya pada tahun 2008 ia meneruskan studinya di governance and law program nagoya university, jepang, untuk program s2 dan menyelesaikannya pada tahun 2011","sasudah tu, pado taun 2008 inyo manaruihan studinyo ka graduate school of international development, governance and law program di nagoya university, japang, untuak program s2, lalu manyalasaiannyo pado taun 2011","salanjuiknyo pado taun 2008 inyo manaruihan studinyo di governance and law program nagoya university, japang, untuak program s2 jo manyalasaiannyo pado taun 2011
",0.423522474805117,0.6562048259757589,0.36666666666666664,67.50440074090409
"menginjak di usia ke 63 tahun, kesehatannya mulai menurun dan mengidap sakit komplikasi liver","menginjak di usia ka 63 tahun, kesehatannya mulai menurun dan mengidap sakit komplikasi liver","Manginjak di umua ka 63 taun, kasehatannyo mulai manurun dan mangidap sakik komplikasi liver
",0.04913270548144422,0.42083333333333334,0.5,64.96435364066029
komunitas masyarakat suku lahat sebagian besar tinggal di daerahdaerah pegunungan atau area perbukitan yang subur.,komunitas masyarakaik urang lahat sabagian gadang tingga di daerahdaerah pagunuangan atau area pabukikan nan subua.,"komunitas masyarakaik suku lahat sabagian gadang tingga di daerahdaerah pagunuangan atau area pabukitan nan subua.
",0.6389431042462724,0.8706951530612245,0.13333333333333333,89.44719578442694
"pusat keragaman utama pisang terletak di daerah malesia asia tenggara, papua dan australia tropika","pusek karagaman utamo pisang talatak di daerah malesia asia tenggara, papua, jo australia tropika","pusat karagaman utamo pisang talatak di daerah malesia asia tenggara, papua, jo australia tropika.
",0.8385766789076257,0.9315389924085576,0.14285714285714285,94.8296914119351
